公司,date,code,TEJ子產業_名稱,Q資產報酬率 (C),Q資產報酬率(A)%,Q資產報酬率(B)%,Q淨值報酬率─稅後,Q淨值報酬率─常續性利益,Q營業毛利率,Q已實現銷貨毛利率,Q營業利益率,Q稅前淨利率,Q稅後淨利率,Q業外收支率,Q常續利益率(稅後),Q員工人數,Q營業費用率,Q現金流量比率,Q有息負債利率,Q稅率 (A)%,Q每股淨值 (B),Q每股淨值 (A),Q每股淨值 (C),Q常續性EPS,Q每股現金流量,Q每股營業額(元),Q每股營業利益(元),Q每股稅前淨利(元),Q每股淨值(F),Q營收成長率,Q毛利成長率,Q已實現銷貨毛利成長率,Q營業利益成長率,Q稅前淨利成長率,Q稅後淨利成長率,Q經常淨利成長率,Q常續性利益成長率(稅後),Q總資產成長率,Q淨值成長率,Q總資產報酬成長率,Q營收變動率,Q營業利益變動率,Q稅後淨利變動率(單季),Q流動比率,Q速動比率,Q利息支出率,Q總負債/總淨值比,Q負債比率,Q淨值 /總資產,Q借款依存度,Q營業利益占實收資本比,Q稅前純益 /實收資本,Q總資產週轉率(次),Q應收帳款週轉率(次),Q應收帳款收現天數,Q存貨週轉率 (次),Q平均售貨天數,Q固定資產週轉率 (次),Q淨值週轉率 (次),Q應付帳款付現天數,Q淨營業週期 (日),Q每人營收,Q每人營業利益,Q每人配備率,Q當季季底股價淨值比,Q當季季底 PSR,季底普通股市值,return
1436 華友聯,2010-09-30,1436,建設,-0.16,1.48,-0.29,1.5,-0.96,41.96,41.96,-133.62,984.42,-1243.58,1118.04,-628.3499999999999,28,175.58,149.63,0,0,10.729999999999999,10.729999999999999,10.729999999999999,-0.36,0.03,0.02,-0.02,0.16,10.73,175.08,76.14999999999999,76.14999999999999,57.94,92.45,-1667.32,92.45,-227.76999999999998,-3.18,-2.8899999999999997,1.04,117.31,45.53,44.18,48924.39,24553.91,0.01,1.03,1.01,98.99,0,-0.21000000000000002,1.53,0,33.260000000000005,2.74,0,39565.3,0.17,0,14.16,39553.880000000005,183,-244,1061.79,0.88,244.79,297e4,-0.0038412291933417877
1438 裕豐,2010-09-30,1438,建設,2.65,2.52,2.52,146.64,146.5,76.4,76.4,60.5,46.49,49.9,-14.02,46.44,6,15.9,3.36,1.34,0,0.18,0.18,0.18,0.1,0.25,0.35,0.21,0.16,0.18,1065.24,108080,108080,648.06,257.78999999999996,149.16,257.78999999999996,257.46999999999997,25.96,52.949999999999996,3.72,20.77,136.58,1360,114.06,0.32999999999999996,29.09,5174.87,98.1,1.9,2286.52,2.09,1.61,0.04,0,0,0.05,1857.03,262.21999999999997,3.15,5.59,1851.44,5900,3570,21.830000000000002,11.47,2.16,215063,0.02008032128514049
1442 名軒,2010-09-30,1442,建設,0.81,0.74,0.76,1.63,1.63,48.54,48.54,37.04,37.55,299.26,0.51,35.04,46,11.5,-43.02,0.43,6.56,14.02,14.02,14.02,3.27,-9.11,0.65,0.24,0.24,14.02,-78.54,-57.55,-57.55,-54.949999999999996,-54.87,136.23,-57.83,-57.879999999999995,80.82,14.32,-1.23,-76.45,-74.58,13.28,143.26999999999998,5.01,22.37,152.2,60.35,39.65,128.68,2.4099999999999997,2.44,0.02,3.56,25.59,0.01,6314.2,1.09,0.05,129.85000000000002,6209.94,2440,904,2230.65,1.63,2.09,3957303,0.03211009174311923
1453 大將,2010-09-30,1453,建設,1.95,1.72,1.92,2.78,2.53,11.07,11.07,6.430000000000001,7.470000000000001,5.18,1.04,7.13,124,4.6499999999999995,12.729999999999999,0.55,0,12.96,12.96,12.96,0.75,1.11,4.65,0.3,0.35,12.96,156.88000000000002,12146.51,12146.51,248.20999999999998,853.13,527.76,1130.46,267.04,21.78,10.450000000000001,1.91,106.72,29721.95,294.07,137.94,50.24,10.77,74.86,42.81,57.19,58.8,2.9899999999999998,3.4699999999999998,0.2,2.77,32.839999999999996,0.7,130.57,0.51,0.35,6.51,156.89000000000001,1534,99,2631.16,0.96,1.18,527610,-0.07126168224299069
1805 寶徠,2010-09-30,1805,建設,-3.72,-4.4,-3.86,-8.75,-8.81,5.56,5.56,-37.309999999999995,-40,-77.33,-2.68,-40.260000000000005,78,42.87,-36.879999999999995,0.73,0,7.09,7.09,7.09,-0.8300000000000001,-2.1,1.62,-0.61,-0.65,7.09,60.4,812.64,812.64,-90.84,-83.86,26.59,-83.86,-85.03,-16.83,57.11,-2.09,41.11,-90,-107.14,158.76,71.23,-2.44,120.61999999999999,54.67,45.33,58.67,-6.05,-6.49,0.11,0.8500000000000001,107.14999999999999,1.1,82.69,0.36,0.22,29.29,160.54,1040,-388,2772.03,1.64,1.07,58e4,0.3448275862068966
1808 潤隆,2010-09-30,1808,建設,4.23,3.35,3.76,4.08,4.08,43.230000000000004,43.230000000000004,30.36,28.8,83.92,-1.57,25.82,84,12.870000000000001,90.57,0.29,10.33,13.39,13.39,13.39,2.2800000000000002,2.51,2.07,0.63,0.72,16.07,31.43,31.68,31.68,38.74,23.779999999999998,31.759999999999998,38.339999999999996,38.339999999999996,-7.15,18.75,0.8,-29.14,-11.56,44.44,470.69,247.95000000000002,1.07,20.630000000000003,17.1,82.9,7.7,6.29,5.970000000000001,0.13,0.99,91.5,0.26,356.08,0.41000000000000003,0.16,17.37,430.21999999999997,3351,1018,8143.820000000001,1.97,2.53,3588947,-0.009223674096848518
2348 海悅,2010-09-30,2348,建設,-1.02,-0.86,-1.15,-13.51,-16.47,1.93,1.93,-6.49,-8.629999999999999,-175.54,-2.13,-10.62,13,8.42,-4.13,0.76,0,0.77,0.77,0.77,-1.1300000000000001,-0.14,1.74,-0.11,-0.07,0.77,17.77,104.89,104.89,1.84,81.01,-47.790000000000006,85.24000000000001,54.04,-10.74,11.5,8.46,10.229999999999999,94.43,-5.22,22.51,17.979999999999997,-76.5,564.3399999999999,84.95,15.05,517.53,-0.51,-0.6699999999999999,0.16,11.12,8.18,0,0,1423.3899999999999,1.55,28.14,-19.95,6515,-423,4.31,3,0.71,250021,-0.07946528035647979
2442 新美齊,2010-09-30,2442,建設,-1.57,9.43,-2.31,20.04,-3.82,7.51,7.51,1.28,60.8,47.21,59.52,-10.639999999999999,1626,6.23,154.35000000000002,0.14,8.22,12.209999999999999,12.209999999999999,12.209999999999999,-0.23,10.92,4.08,0.05,2.48,12.21,-75.86999999999999,-82.88,-82.88,-93.95,209.73999999999998,0.9,186.79,-154.55,-42.06,14.06,3.82,-74.32,136.31,649.5,240.8,214.67,0.21000000000000002,58.9,37.07,62.93,13.67,0.52,24.830000000000002,0.17,0.53,170.4,2.77,32.89,3.11,0.36,71.94000000000001,131.35000000000002,410,5,131.41,0.8,0.23,1596418,0.22403003754693354
2501 國建,2010-09-30,2501,建設,1.44,1.29,1.4,1.84,1.84,37.6,37.6,27.85,30.17,86.88,2.32,29.830000000000002,130,9.75,0.8,0.15,1.11,12.2,12.2,12.2,0.8200000000000001,0.04,0.74,0.21,0.22,12.2,-2.21,65.86,65.86,86.66999999999999,91.76,258.62,111.86999999999999,111.23,1.48,2.73,0.68,-44.33,-42.37,52.3,252.86,38.230000000000004,2.09,41.349999999999994,29.26,70.74,29.6,2.06,2.23,0.04,12.870000000000001,7.07,0.04,2058,0.16,0.06,20.439999999999998,2044.6299999999999,9429,2626,56743.67,1.29,4.32,26090111,-0.1617113850616388
2505 國揚,2010-09-30,2505,建設,1.56,1.54,1.55,3.2,3.2,24.419999999999998,24.419999999999998,13.719999999999999,15.49,9.2,1.77,15.52,80,10.69,9.450000000000001,0.35,0,11.6,11.6,11.6,0.11,1.01,2.36,0.32,0.37,11.6,626.2,8252.25,8252.25,328.39,353.48999999999995,130.63,353.48999999999995,353.56,2.43,1.1700000000000002,2.07,130.8,1425.3899999999999,246.23,197.63,16.12,6.67,108.26,51.98,48.02,55.93,3.23,3.65,0.1,15.709999999999999,5.79,0.1,901.19,10.1,0.21,87.34,819.64,13038,1789,1290.1299999999999,1.91,5.23,9803590,-0.032602585722315815
